"photo-13279251_364168782";"http://cs540103.vk.me/c540101/v540101826/4dfcf/nln1OIxfq5I.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Белый";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301662428";"http://cs403828.vk.me/v403828826/6b25/qfgRegKuF6c.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Черный";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301662414";"http://cs403828.vk.me/v403828826/6b0d/nEty10s8Jc0.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Черный";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301662419";"http://cs403828.vk.me/v403828826/6b15/UqCyGELczTA.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10012<br/>Черный";"Reebok Сlassic";1080;"RP10012";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925826";"http://cs540103.vk.me/c540101/v540101826/47fc7/jUBhM4eq27c.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 40 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Белый";"Reebok Сlassic";1080;"RP10011";" 40 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925823";"http://cs540103.vk.me/c540101/v540101826/47fbf/dWuAwNXwcwY.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 40 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Белый";"Reebok Сlassic";1080;"RP10011";" 40 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925817";"http://cs540103.vk.me/c540101/v540101826/47faf/F1N8IocNF0s.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 40 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Белый";"Reebok Сlassic";1080;"RP10011";" 40 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925805";"http://cs540103.vk.me/c540101/v540101826/47fa7/OiAYRa5StFM.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 40 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Белый";"Reebok Сlassic";1080;"RP10011";" 40 - 45";"Белый";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925834";"http://cs540103.vk.me/c540101/v540101826/47fd7/bV4f-71OumY.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Черный";"Reebok Сlassic";1080;"RP10011";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925802";"http://cs540103.vk.me/c540101/v540101826/47f9f/Z5ub0jmEPp4.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Черный";"Reebok Сlassic";1080;"RP10011";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925829";"http://cs540103.vk.me/c540101/v540101826/47fcf/xC3B6Fn3Rho.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Черный";"Reebok Сlassic";1080;"RP10011";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355925821";"http://cs540103.vk.me/c540101/v540101826/47fb7/iGE_43Rvd5k.jpg";"Reebok Сlassic<br/>Цена: 1080 грн.<br/>Размеры: 33 - 45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10011<br/>Черный";"Reebok Сlassic";1080;"RP10011";" 33 - 45";"Черный";"<h1>Reebok Сlassic</h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452415";"http://cs407321.vk.me/v407321826/76d7/SVMvjPHF9iY.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный";"Puma Ferrari ";920;"RP10013";" 36-46";"Черный";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452409";"http://cs407321.vk.me/v407321826/76bf/AwtbaN2FnJA.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Красный";"Puma Ferrari ";920;"RP10013";" 36-46";"Черный+Красный";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452411";"http://cs407321.vk.me/v407321826/76c7/GRTCT45cePA.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Красный";"Puma Ferrari ";920;"RP10013";" 36-46";"Черный+Красный";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452402";"http://cs407321.vk.me/v407321826/76a7/dnaWTU_4xZs.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Белый";"Puma Ferrari ";920;"RP10013";" 36-46";"Черный+Белый";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452386";"http://cs407321.vk.me/v407321826/765f/on6I0SrIIT8.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-39<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Розовый";"Puma Ferrari ";920;"RP10013";" 36-39";"Черный+Розовый";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452388";"http://cs407321.vk.me/v407321826/7667/FQah3uSIEzQ.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-39<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Розовый";"Puma Ferrari ";920;"RP10013";" 36-39";"Черный+Розовый";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452364";"http://cs407321.vk.me/v407321826/760f/Iddc3Jhk-XI.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Черный+Золотой";"Puma Ferrari ";920;"RP10013";" 36-46";"Черный+Золотой";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299452416";"http://cs407321.vk.me/v407321826/76df/EIDfnIaXk0E.jpg";"Puma Ferrari <br/>Цена: 920 грн.<br/>Размеры: 36-46<br/>Материал: кожа, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10013<br/>Белый";"Puma Ferrari ";920;"RP10013";" 36-46";"Белый";"<h1>Puma Ferrari </h1><br/><b>Материал:</b> кожа, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
